name,code,xREF,region,incomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Monaco,MCO,MCO,Europe & Central Asia,High income,22454,22812,23042,23169,23237,23283,23304,23297,23296,23348,23484,23722,24052,24440,24835,25201,25521,25809,26086,26391,26746,27165,27629,28098,28514,28836,29048,29169,29238,29313,29438,29626,29864,30138,30423,30700,30971,31242,31517,31795,32081,32364,32648,32960,33339,33808,34384,35046,35731,36351,36845,37189,37404,37528,37623,37731
Moldova,MDA,MDA,Europe & Central Asia,Lower middle income,595907,630827,666719,703542,740741,778740,817282,856287,895696,936294,976150,1015304,1055178,1096014,1137210,1177577,1217773,1256838,1296267,1334282,1371543,1410553,1451104,1492715,1535048,1577083,1618883,1660790,1701461,1724769,1728324,1728620,1726070,1720262,1712144,1701350,1694500,1684626,1680330,1674046,1667042,1659723,1652297,1644074,1636443,1628907,1620837,1613544,1606941,1602240,1598860,1596974,1596693,1597049,1597711,1599190
Madagascar,MDG,MDG,Sub-Saharan Africa,Low income,542675,573083,605334,639572,675836,714172,754375,793889,835806,880126,927258,982009,1040355,1102255,1168001,1237424,1306830,1380148,1457146,1537218,1620205,1705786,1794439,1887075,1985029,2089346,2200886,2319637,2446081,2579629,2720879,2869743,3026853,3192702,3329832,3470214,3617540,3771599,3932135,4098524,4270150,4447139,4629688,4817640,5011223,5270194,5539588,5819639,6111549,6414746,6730484,7059073,7400623,7755836,8124698,8507834
Maldives,MDV,MDV,South Asia,Upper middle income,10042,10368,10713,11068,11424,11770,11979,12185,12656,13171,13761,15322,17097,19076,21252,23609,26143,28868,31215,33120,35218,37526,40043,42755,45632,48318,50190,52081,53983,55884,56331,58512,60168,62071,62686,65377,68141,69641,72506,75975,79239,84268,89225,95006,101369,108338,116663,126697,135942,139612,146741,155169,162867,170625,178421,186316
Mexico,MEX,MEX,Latin America & Caribbean,Upper middle income,19374508,20323429,21311767,22339277,23405968,24511883,25656171,26838961,28070309,29360883,30708543,32113008,33583229,35102671,36649107,38202909,39758119,41314450,42873072,44434814,45993475,47444761,48894447,50350648,51821324,53313962,54830546,56369936,57936078,59533250,61141380,62729271,64345471,65982215,67630575,69279162,70857066,72395583,73913217,75383847,76820635,78226580,79569084,80895293,82272697,83746432,85338204,87030201,88790060,90563640,92314102,94026942,95712180,97372329,99018446,100656069
Marshall Islands,MHL,MHL,East Asia & Pacific,Upper middle income,5218,5563,5963,6408,6884,7373,7872,8385,9147,9980,10911,11956,13110,14348,14990,15510,15974,16401,16823,17287,17828,18763,19872,21075,22370,23746,25212,26751,28299,29647,30771,31703,32458,33066,33581,34044,34466,34836,35157,35431,35656,35837,35984,36114,36244,36389,36559,36751,36961,37180,37404,37629,37860,38090,38311,38517
"Macedonia, FYR",MKD,MKD,Europe & Central Asia,Upper middle income,506443,530905,556981,584160,612703,642627,674298,707589,741944,776356,810134,839251,856891,874008,891983,911764,933789,957557,982218,1006329,1028847,1048516,1064101,1078129,1091186,1103634,1115831,1127536,1138229,1147080,1153600,1157959,1161784,1165023,1169669,1164058,1162840,1165301,1170008,1174765,1178016,1179372,1179287,1178098,1176406,1175216,1174533,1174155,1174153,1174552,1175428,1176771,1178635,1180956,1183708,1186880
Mali,MLI,MLI,Sub-Saharan Africa,Low income,582484,604663,627575,651361,676190,702075,729167,757441,787292,818898,852498,888365,926545,966832,1009065,1052981,1098436,1146704,1198250,1252707,1310539,1372266,1437889,1506364,1576047,1645715,1714658,1781670,1841272,1905821,1978190,2059825,2150411,2248528,2352377,2460196,2571796,2687809,2814671,2968224,3132466,3307599,3494162,3692786,3904630,4129772,4369920,4624751,4893277,5172487,5459616,5753474,6054854,6365226,6687982,7025094
Malta,MLT,MLT,Middle East & North Africa,High income,294316,292949,291536,290127,288759,286362,282936,279467,276131,272927,271474,271546,271346,271149,270993,273015,274435,275536,278444,281309,284300,286427,292666,296847,296939,302228,307591,310133,313103,316579,320102,323732,327341,330870,334219,336894,339820,343311,346533,349334,352257,364105,367875,371319,374812,378170,380483,382695,386024,389733,392394,394759,398444,402794,407180,411522
Myanmar,MMR,MMR,East Asia & Pacific,Lower middle income,4130980,4297005,4469136,4648891,4838111,5037998,5249628,5472640,5706587,5949938,6202008,6462278,6731791,6981991,7154011,7329853,7510010,7692731,7879187,8069404,8263659,8460827,8661211,8861423,9065217,9271384,9479178,9688900,9900143,10111114,10321196,10529464,10736714,10948110,11171753,11412465,11672821,11952234,12245974,12548813,12855589,13166097,13481761,13802361,14128605,14460575,14797485,15141201,15494241,15863485,16246753,16646250,17060460,17488372,17928701,18377852
Montenegro,MNE,MNE,Europe & Central Asia,Upper middle income,90291,95782,101703,107780,113586,118771,123093,126621,129779,133237,137597,143135,149784,157258,165076,172810,180301,187635,194980,202628,210794,219563,228836,238326,247588,256235,264087,271196,277825,284397,291283,298483,305585,312816,319860,326440,332459,337985,343256,348560,354162,361755,369361,376961,380402,382070,383653,385291,387080,389018,390834,392349,393815,395355,396914,398490
Mongolia,MNG,MNG,East Asia & Pacific,Lower middle income,340918,370105,401801,427961,446838,466255,486159,506593,527711,550748,576136,602813,630729,659682,689479,719939,751018,782715,815218,847642,880006,913127,946960,981984,1018844,1057806,1099382,1143045,1186959,1222043,1245683,1263926,1277497,1287673,1296484,1305400,1314886,1324665,1334888,1345456,1369728,1408815,1449095,1490760,1533999,1578878,1625533,1674000,1724561,1777401,1832861,1891014,1951009,2011886,2072468,2131760
Northern Mariana Islands,MNP,MNP,East Asia & Pacific,High income,5158,5453,5720,5973,6243,6556,6920,7330,7956,8602,9250,9917,10609,11287,11835,12270,12560,12750,13028,13655,14795,16470,18707,21333,24100,26816,29417,31944,34426,36927,39457,41906,44319,46714,49112,51511,54015,56509,58779,60569,61670,61972,61643,60756,59438,57805,55847,53615,51382,49494,48191,47599,47641,48112,48690,49143
Mozambique,MOZ,MOZ,Sub-Saharan Africa,Low income,357354,378266,401201,425540,451581,479151,508603,539963,573384,608744,646400,697001,761216,831391,908951,995030,1090756,1196128,1311321,1435315,1567366,1718228,1881159,2052145,2226922,2401252,2570672,2735615,2907292,3103688,3342993,3496779,3690196,3912504,4145569,4375307,4597151,4814681,4977360,5140260,5314615,5501838,5699551,5906208,6119596,6337792,6560921,6789280,7024472,7270521,7528707,7800026,8084514,8381891,8691246,9012789
Mauritania,MRT,MRT,Sub-Saharan Africa,Lower middle income,59042,65668,73016,81162,90178,100130,111119,123244,136597,151234,167327,184965,204280,225327,248303,273298,300484,328356,356762,387238,419894,454790,492085,531771,573871,618293,665161,714525,762319,798396,836280,876092,917889,961745,1007840,1056213,1106916,1159970,1215577,1273931,1335212,1399453,1466336,1535235,1605232,1675672,1746208,1816977,1888350,1961079,2035677,2112254,2190699,2270787,2352201,2434803
Mauritius,MUS,MUS,Sub-Saharan Africa,Upper middle income,218753,228986,238840,252004,265267,278602,292049,305610,319317,333151,347184,361389,375755,379491,383371,387512,391829,396239,399416,404358,409127,413108,416035,417715,425254,431938,438482,445028,451399,458181,464802,468530,473391,477687,483053,485844,489444,494198,498006,502932,506439,507943,508952,510101,510746,511212,511022,510765,510027,508789,507400,505621,504412,503197,502028,500888
Malawi,MWI,MWI,Sub-Saharan Africa,Low income,158857,166094,173706,181758,190244,199200,208655,223713,240605,258888,278664,300036,323210,348281,375509,405006,437205,472397,501507,529279,557772,586102,614707,646233,684497,732309,792182,862824,942614,1020087,1087680,1141459,1183059,1217829,1255285,1302800,1363822,1436664,1519462,1580363,1635331,1689068,1743082,1798458,1856676,1919061,1985739,2056478,2131030,2210543,2295231,2384976,2480355,2581354,2688270,2801263
Malaysia,MYS,MYS,East Asia & Pacific,Upper middle income,2170656,2296244,2429844,2570005,2714905,2862609,3012693,3165435,3321630,3482479,3649374,3832210,4022946,4220490,4424821,4635632,4853261,5078175,5312429,5558155,5816257,6070072,6337222,6619368,6918263,7234729,7570861,7925811,8296884,8678586,9068034,9462686,9950723,10462878,10992464,11541546,12112111,12700398,13302192,13909055,14515479,15051548,15582126,16110412,16641621,17178671,17723093,18273043,18827413,19383458,19940100,20496820,21048452,21593403,22130468,22658779
Namibia,NAM,NAM,Sub-Saharan Africa,Upper middle income,107910,113172,118611,124350,130398,136749,143411,150400,157794,165705,173964,181444,189436,197728,206049,214195,222116,229931,237721,245640,253859,262284,270646,279749,290388,303048,318059,335206,353821,372824,391456,409335,428919,449489,470765,493171,516994,541898,567138,591575,614424,635262,661054,687423,714299,742540,772477,804064,837755,873878,912906,955137,1000670,1048434,1097577,1147290
New Caledonia,NCL,NCL,East Asia & Pacific,High income,29514,31490,33547,35723,38025,40405,43143,45978,48910,52460,57380,62426,66278,68872,71240,73094,74870,76516,77895,78999,80425,82469,84793,87037,88993,90869,92813,94912,97022,99182,101748,104600,107446,110456,113649,116464,118934,122053,125204,128430,131733,135113,138566,141635,144406,147759,151899,155428,159645,163229,168183,172469,177438,181722,186697,191673
Niger,NER,NER,Sub-Saharan Africa,Low income,196685,205985,215797,231781,248873,267020,286287,310528,336670,364901,395497,428610,464468,503215,545150,590480,639622,692631,734083,767327,801627,837080,873782,912042,952050,993996,1038086,1084516,1132430,1172855,1215898,1262003,1311009,1363143,1418323,1476654,1538209,1603096,1671312,1742576,1816801,1894204,1976236,2063277,2156038,2254765,2360066,2472312,2592380,2721633,2860711,3010713,3171972,3344985,3530114,3727503
Nigeria,NGA,NGA,Sub-Saharan Africa,Lower middle income,6967110,7213716,7471950,7742425,8023531,8314986,8618351,8933827,9263186,9607492,9969015,10428427,10912250,11425299,11977375,12573275,13219521,13913913,14649008,15411023,16191472,17168651,18180223,19232304,20339131,21508167,22747220,24056271,25433859,26874905,28379228,29598261,30858748,32162703,33514211,34918214,36378632,37893287,39467361,41105190,42810250,44948267,47185233,49527139,51981053,54551721,57245513,60066180,63018262,66099619,69317878,72651944,76101864,79658045,83310777,87048809
Nicaragua,NIC,NIC,Latin America & Caribbean,Lower middle income,702442,732709,763698,796969,837987,880889,925858,972898,1022163,1073744,1127824,1181361,1224327,1268919,1315164,1363051,1412573,1463618,1515915,1569111,1622940,1677250,1732124,1787181,1842127,1896755,1950778,2004296,2057960,2112710,2169140,2227585,2287648,2348565,2409321,2469111,2527843,2585552,2642065,2697367,2751515,2804188,2855626,2906328,2957239,3008819,3061986,3116518,3172151,3228486,3285133,3342033,3399335,3457155,3515673,3574958
Netherlands,NLD,NLD,Europe & Central Asia,High income,6863492,6985555,7107497,7225888,7345397,7469419,7590341,7699768,7803319,7917513,8039946,8169109,8294650,8406296,8515370,8634800,8746238,8841770,8939836,9045559,9161288,9275502,9376386,9470198,9565992,9668672,9780476,9900806,10022989,10141210,10269295,10447740,10662777,10871452,11069798,11255548,11436659,11622597,11819675,12021931,12229998,12488742,12775902,13035570,13271929,13485107,13671225,13848922,14044865,14256137,14465528,14662695,14840708,15001484,15163329,15326873
Norway,NOR,NOR,Europe & Central Asia,High income,1787755,1840926,1915999,1991003,2066761,2143353,2220995,2299864,2379197,2457954,2534594,2584983,2624297,2662165,2698139,2732467,2764638,2795553,2825403,2854061,2882201,2902056,2918125,2933210,2946922,2961159,2977158,2996568,3018161,3036098,3051994,3079741,3114713,3150384,3185372,3215508,3243897,3273428,3295901,3350272,3416773,3455773,3494337,3525438,3548398,3582588,3630155,3684159,3744286,3805760,3867496,3932009,3998046,4060600,4120471,4181314
Nepal,NPL,NPL,South Asia,Low income,349982,364783,374819,385194,396104,407520,419605,432272,445638,459578,474205,489910,524237,561006,600602,643041,688735,737708,790133,846481,906955,971530,1031832,1095752,1163366,1234521,1309244,1387987,1471738,1561759,1659389,1765986,1894530,2032284,2178141,2330539,2489661,2654957,2826528,3004378,3188539,3371765,3496855,3621907,3747214,3872705,3998123,4123786,4251517,4383269,4521066,4665588,4817540,4976060,5139915,5307825
Nauru,NRU,NRU,East Asia & Pacific,High income,4433,4675,4947,5231,5500,5738,5936,6102,6241,6368,6493,6619,6743,6862,6972,7070,7156,7235,7311,7393,7488,7597,7719,7855,8007,8174,8356,8550,8752,8956,9157,9354,9544,9719,9863,9970,10033,10056,10054,10044,10042,10053,10073,10096,10113,10115,10101,10075,10047,10028,10025,10043,10079,10125,10176,10222
New Zealand,NZL,NZL,East Asia & Pacific,High income,1802521,1851675,1914441,1967968,2024808,2073571,2125227,2175248,2206092,2237511,2279646,2324938,2375942,2432441,2493343,2552005,2582586,2593760,2597744,2590668,2597030,2609635,2636985,2674359,2698921,2716946,2719750,2751315,2766856,2788022,2821739,2968493,3003146,3041157,3085471,3134622,3187912,3232444,3263694,3283344,3305162,3328072,3391762,3463392,3516313,3557304,3602020,3636861,3668966,3706604,3748781,3778263,3799782,3830112,3889661,3965354
Oman,OMN,OMN,Middle East & North Africa,High income,90485,98715,107702,117478,128110,139614,152117,165729,180602,196856,214730,234331,255879,279775,306662,337055,371337,409583,451973,498475,549044,603817,662870,725289,789828,855281,920406,985033,1051009,1121233,1197873,1282934,1374991,1467957,1533793,1570887,1590442,1595605,1593244,1593200,1602718,1625985,1661764,1705543,1758464,1814989,1863122,1907107,1964810,2061169,2212550,2429683,2701578,2996562,3269304,3486501
Pakistan,PAK,PAK,South Asia,Lower middle income,9927306,10347860,10720938,11112930,11524621,11955055,12406141,12877673,13370098,13883155,14417247,14972757,15551848,16188698,16870407,17593548,18361456,19173839,20034495,20945883,21911683,22900305,23876123,24895107,25953191,27044917,28169887,29326330,30507374,31701022,32902112,34104160,35308496,36523224,37760995,39030856,40338890,41679004,43043060,44431884,45836949,47253203,48691660,50161234,51680167,53260672,54908686,56624858,58414816,60282261,62232673,64269927,66394372,68599536,70877513,73223503
Panama,PAN,PAN,Latin America & Caribbean,Upper middle income,467320,488442,510936,534392,558804,584102,610295,637413,665467,694506,723791,749028,774960,801482,828471,855815,883530,911555,939976,968767,998132,1028953,1060264,1092047,1124371,1157197,1190617,1224602,1259216,1294423,1331949,1381465,1432115,1483952,1537225,1591973,1648344,1706138,1765230,1825213,1883823,1929119,1974543,2020240,2066477,2113366,2160953,2209205,2258047,2307488,2357492,2408198,2459576,2511522,2563866,2616494
Peru,PER,PER,Latin America & Caribbean,Upper middle income,4709898,4905806,5167067,5440431,5725341,6020674,6326873,6644115,6972276,7310284,7658575,8016487,8379737,8695751,9022371,9360480,9711282,10073504,10445619,10825075,11209477,11597541,11957899,12321677,12691477,13068535,13452877,13843150,14238594,14637453,15038786,15442209,15847046,16249589,16656607,17055741,17445307,17825583,18198247,18565426,18928743,19288446,19645180,20001000,20357798,20717192,21080138,21446767,21820085,22201277,22592738,22995170,23408029,23826999,24247329,24664887
Philippines,PHL,PHL,East Asia & Pacific,Lower middle income,7959938,8300149,8653513,9017542,9390366,9770039,10155874,10548829,10951255,11365801,11808042,12342524,12899187,13476877,14076174,14684548,15250785,15834158,16436761,17060794,17764857,18790091,19864675,20987995,22162128,23384159,24656960,25980463,27352639,28767937,30100213,30821374,31543743,32267663,32994105,33723666,34454249,35184623,35917111,36655051,37372409,37958629,38544916,39115365,39651954,40144464,40584418,40980182,41349758,41719050,42104755,42541620,43025362,43549166,44104820,44683343
Palau,PLW,PLW,East Asia & Pacific,Upper middle income,5477,5655,5827,5989,6143,6283,6410,6522,6627,6736,6856,6994,7146,7296,7421,7508,7545,7543,7532,7551,7628,7852,8160,8515,8880,9230,9534,9758,9979,10221,10501,10824,11179,11557,11943,12325,12591,12819,13023,13190,13415,13898,14336,14732,15106,15468,15814,16143,16458,16764,17063,17357,17651,17943,18239,18538
Papua New Guinea,PNG,PNG,East Asia & Pacific,Lower middle income,73269,80522,88556,97430,107302,118212,130341,151616,176368,205112,238509,277291,291099,305233,319975,335196,350867,366976,383714,401188,419524,437541,455988,475117,494767,514826,535300,556231,577760,600131,623436,631448,639201,647236,655500,664050,672852,681961,691220,700430,709590,726702,744198,761886,779750,797932,816375,835034,853832,872671,891478,910152,928845,948471,969145,990893
Poland,POL,POL,Europe & Central Asia,High income,14193968,14540630,14828737,15149001,15484714,15762096,16007142,16289779,16575555,16835934,17026266,17266414,17626595,18005216,18398446,18803602,19215135,19625330,20007316,20341874,20663601,20985955,21314754,21651242,21984900,22299554,22589785,22855463,23089202,23241946,23350476,23450653,23539562,23616843,23684074,23733222,23768665,23801620,23827143,23842562,23611695,23622394,23621395,23563051,23506503,23453429,23396235,23340838,23300939,23274004,23165018,23134846,23099773,23058826,23022948,23004514
Puerto Rico,PRI,PRI,Latin America & Caribbean,High income,1050418,1102264,1159664,1220307,1280251,1336533,1389174,1436971,1482823,1532032,1585355,1636045,1693932,1756462,1819309,1879334,1937017,1991958,2044764,2096577,2174790,2327244,2471396,2606230,2731668,2847385,2953935,3051544,3140855,3222218,3287359,3316538,3343786,3377742,3414883,3452136,3496557,3534616,3560323,3583400,3596716,3602364,3604909,3605100,3603694,3596360,3579032,3555977,3533033,3511647,3491722,3449588,3406314,3365853,3309928,3251834
"Korea, Dem. People’s Rep.",PRK,PRK,East Asia & Pacific,Low income,4591949,4801791,5002268,5202148,5416793,5657804,5928561,6224968,6669852,7229992,7810437,8102659,8399076,8691340,8969911,9227778,9384245,9515661,9633047,9752241,9884763,10053936,10238005,10432316,10629674,10824449,11014570,11202438,11391354,11586279,11790272,12004830,12227578,12451246,12659239,12844483,13011097,13161231,13299776,13434254,13569830,13708773,13848865,13986963,14119042,14241558,14354133,14458004,14555995,14651842,14751755,14856650,14965980,15079080,15195005,15313299
Portugal,PRT,PRT,Europe & Central Asia,High income,3096215,3155977,3212831,3260048,3296372,3317422,3326794,3340014,3360136,3364185,3368354,3388093,3416874,3451945,3535188,3708226,3852629,3931481,4012458,4094541,4178517,4257857,4335210,4407052,4476013,4540496,4596999,4648117,4695891,4741470,4783459,4827626,4889660,4961312,5040624,5124278,5210104,5299934,5393642,5491367,5597602,5704057,5800192,5886957,5966051,6041725,6117343,6193886,6267228,6337144,6403809,6457743,6493757,6518869,6543100,6568080
Paraguay,PRY,PRY,Latin America & Caribbean,Upper middle income,676832,696753,717329,739480,762744,786782,811648,837322,863603,890236,917026,943913,971077,1008218,1047113,1087946,1130840,1175794,1223150,1273100,1325940,1381699,1440454,1508037,1578622,1651697,1727269,1805289,1885602,1967783,2051839,2137447,2224614,2309285,2394821,2481880,2570461,2660202,2750973,2842360,2934039,3025872,3117876,3190530,3258092,3323715,3387197,3448798,3509392,3570084,3631971,3695320,3759878,3825995,3893244,3961299
French Polynesia,PYF,PYF,East Asia & Pacific,High income,33014,34879,36942,39415,42166,45018,47957,50995,54153,57461,60952,64246,67085,70025,73034,76088,79175,82169,84554,86993,89509,92100,94747,97439,100100,102740,105398,108064,110658,112864,114777,116396,117767,119026,120355,121885,123660,125940,128388,130791,133038,135112,137037,139252,141588,143821,145940,147945,149151,150244,151400,152628,153911,155235,156610,158009
Qatar,QAT,QAT,Middle East & North Africa,High income,40343,44008,48378,53325,58565,64022,69627,75467,81736,88717,96597,105652,115616,126131,136440,146107,154619,162419,171155,183098,199918,222042,248583,277764,307007,334335,360087,385465,408122,427161,442105,452568,459127,463592,468509,475958,488093,505283,526059,548416,571561,592277,613402,647238,710902,815574,966247,1155647,1364808,1566806,1741767,1882800,1994379,2081557,2153798,2218456
Romania,ROU,ROU,Europe & Central Asia,Upper middle income,6296818,6474669,6646237,6820612,6997996,7174333,7368164,7586123,7786878,7968040,8164758,8352002,8535661,8713690,8900706,9120255,9340263,9560064,9801109,10019804,10247190,10486040,10693684,10890056,11084645,11296022,11511242,11720962,11941563,12160692,12347321,12404523,12360656,12309016,12256584,12197105,12127405,12058033,11998890,11945687,11895672,11697189,11469356,11415407,11378651,11336529,11297334,11159030,11001524,10936933,10898688,10871606,10849592,10838156,10829091,10821345
Russian Federation,RUS,RUS,Europe & Central Asia,Upper middle income,64421857,66226377,68060071,69923357,71815164,73731369,75267305,76812479,78366306,79922296,81464683,82992261,84524649,86061054,87600777,89145034,90810675,92479950,94157479,95659612,96960865,98228786,99464693,100677781,102058393,103466989,104825013,106169956,107471421,108424260,108837430,109073667,109115423,108985461,108843023,108866238,108700578,108515107,108329743,107987645,107528575,107067618,106568907,106132766,105771150,105433013,105152847,105037426,105055515,105149982,105261473,105407907,105662789,105981289,106317178,106643169
Rwanda,RWA,RWA,Sub-Saharan Africa,Low income,76269,79516,82671,85828,89287,93173,97647,102652,108146,113914,119920,129048,139071,149817,161507,174279,188178,203307,219800,231339,242697,254324,266256,278927,293172,309386,328671,350469,371434,386713,393188,388290,422109,460745,509059,581638,693551,811053,933331,1066775,1197345,1318415,1432593,1528645,1626823,1736967,1861716,1999086,2148287,2304454,2465540,2630873,2801045,2976573,3157599,3344861
Saudi Arabia,SAU,SAU,Middle East & North Africa,High income,1277043,1365778,1462344,1581329,1724654,1877829,2041479,2217022,2406783,2613449,2840515,3089994,3363817,3664329,3995067,4334575,4699099,5095108,5528166,6004665,6528647,7102812,7723711,8377518,9044230,9706572,10358244,10921585,11470069,12005277,12530092,13043393,13544924,13987889,14410083,14832182,15254338,15678730,16116490,16580792,17081302,17623296,18203393,18810106,19425837,20038440,20642052,21239029,21835263,22439328,23057927,23692309,24337188,24982007,25612976,26219511
Sudan,SDN,SDN,Sub-Saharan Africa,Lower middle income,808900,870467,936824,1008379,1085576,1168627,1258140,1354665,1458638,1570402,1690759,1819945,1958823,2092877,2187176,2287527,2394030,2506617,2625101,2748939,2877701,3011887,3152252,3347320,3626963,3921681,4229405,4552025,4899531,5285918,5724519,6224957,6786857,7334346,7660383,7958716,8221568,8455842,8673089,8891317,9124487,9375498,9640109,9915578,10196803,10479925,10765636,11055452,11347225,11644579,11946804,12252410,12563893,12887151,13230743,13601804
Senegal,SEN,SEN,Sub-Saharan Africa,Low income,730839,772141,815711,861673,910295,961629,1015792,1072927,1133328,1197303,1265326,1335859,1410685,1488863,1569324,1651122,1729547,1791557,1854850,1921124,1991851,2067457,2147802,2233007,2323002,2417414,2516470,2620245,2727129,2823594,2923024,3025738,3131410,3238655,3345645,3451198,3554768,3657027,3759932,3866292,3978250,4096810,4221860,4352793,4490225,4633698,4783165,4939492,5104678,5281388,5471653,5676326,5895268,6126282,6366863,6614669
Singapore,SGP,SGP,East Asia & Pacific,High income,1646400,1702400,1750200,1795000,1841600,1886900,1934400,1977600,2012000,2042500,2074500,2112900,2152400,2193000,2229800,2262600,2293300,2325300,2353600,2383500,2413945,2532835,2646466,2681061,2732221,2735957,2733373,2774789,2846108,2930901,3047132,3135083,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002
Solomon Islands,SLB,SLB,East Asia & Pacific,Lower middle income,6799,7330,7906,8526,9194,9915,10688,11524,12432,13428,14293,14889,15532,16215,16925,17652,18602,19927,21329,22814,24390,26060,27825,29684,31634,33670,35795,37611,39224,40897,42652,44490,46412,48418,50509,52678,54932,57268,59686,62188,65203,68617,72179,75884,79724,83687,87774,91989,96343,100838,105488,110250,115126,120104,125168,130310
Sierra Leone,SLE,SLE,Sub-Saharan Africa,Low income,378569,395687,413583,432641,453578,475442,498332,522288,547530,574219,602617,632870,665062,699186,735358,766960,794906,824242,854964,887014,920335,954436,989229,1025715,1065414,1109030,1153712,1198657,1242981,1280546,1307205,1321284,1324920,1322171,1319318,1321319,1328804,1341564,1363051,1397243,1446668,1513658,1596796,1689532,1782396,1868256,1945023,2014334,2078696,2142376,2208763,2278298,2349882,2423719,2499599,2577531
El Salvador,SLV,SLV,Latin America & Caribbean,Lower middle income,1059433,1095105,1130564,1167509,1205542,1244257,1283485,1323220,1363433,1404165,1445499,1487425,1544969,1603358,1662366,1721638,1781187,1840829,1900220,1958984,2016836,2073469,2129084,2184095,2239207,2294926,2351397,2408436,2466365,2525390,2585758,2647697,2710899,2806400,2911991,3016077,3118184,3217857,3315451,3370502,3423869,3475515,3525403,3573662,3620644,3666334,3711044,3754858,3797776,3840007,3881785,3923169,3964379,4005463,4046661,4088024
San Marino,SMR,SMR,Europe & Central Asia,High income,7527,7894,8277,8675,9080,9488,9900,10314,10718,11098,11443,12020,12550,13052,13560,14105,14699,15351,16035,16710,17353,17953,18517,19048,19557,20049,20524,20980,21211,21461,21737,22044,22379,22838,23289,23718,24119,24495,24859,25231,25621,26035,26432,26802,27159,27493,27803,28095,28367,28626,28875,29114,29340,29553,29752,29935
Somalia,SOM,SOM,Sub-Saharan Africa,Low income,477185,501999,528185,555749,584013,612807,644161,678367,713975,748684,781352,808569,831912,861425,912236,989566,1096771,1236031,1388481,1526528,1629788,1689280,1710876,1707451,1699729,1703225,1723418,1757385,1801099,1842393,1874865,1896302,1910801,1925348,1950669,1994369,2059950,2145099,2244635,2350253,2455429,2558272,2660466,2763120,2868066,2976637,3089162,3204929,3323714,3445464,3570051,3697311,3828131,3964741,4110056,4266408
Serbia,SRB,SRB,Europe & Central Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3822813,3856152,3902505,3950206,3989140,3953290,3969937,3979199,3984493,3990305,3997794,4011035,4027431,4038921,4049434,4057154,4061021,4064297,4050707,4038084,4025456,3997418,3981594,3966995,3954261,3943289
South Sudan,SSD,SSD,Sub-Saharan Africa,Low income,258507,263081,267857,272895,278138,283621,289380,295350,301604,308115,314854,321906,329212,336862,344791,353100,361619,370299,379492,389518,400509,412613,425457,449822,492163,535997,581611,628900,676578,722394,764988,802077,834080,856988,854399,865518,893308,936255,990001,1047805,1104613,1158887,1212363,1266773,1325153,1389458,1460001,1535659,1616569,1703206,1795584,1894134,1998473,2106356,2214408,2320378
Sao Tome and Principe,STP,STP,Sub-Saharan Africa,Lower middle income,10328,10847,11577,12319,13153,14147,15356,16781,18395,20127,21917,22952,23696,24432,25231,26136,27168,28303,29495,30676,31792,32823,34370,35989,37655,39402,41249,43184,45217,47346,49573,51915,54160,56457,58789,61126,63451,65771,68138,70622,73278,76129,79165,82326,85563,88840,92145,95486,98867,102299,105787,109328,112918,116548,120211,123899
Suriname,SUR,SUR,Latin America & Caribbean,Upper middle income,137041,141035,145001,148999,152909,156307,159915,163606,166960,169409,170590,170347,173628,180808,187740,194921,202597,210660,219036,227433,235660,236278,236996,238079,239899,242696,246570,251400,256886,262615,268262,273690,278939,284084,289274,294587,300091,305665,311005,315685,319430,322082,323813,325081,326552,328075,330379,333369,336821,340376,343755,346914,349932,352824,355701,358597
Slovak Republic,SVK,SVK,Europe & Central Asia,High income,1361347,1423197,1471245,1519388,1569094,1619143,1669066,1718790,1768232,1818423,1863258,1914539,1979489,2047898,2119100,2192168,2266922,2343045,2419732,2497145,2571477,2623925,2667930,2711169,2753815,2796439,2837965,2878046,2917651,2956110,2993564,3011210,3008952,3017265,3025916,3031513,3034659,3037037,3037825,3037635,3030239,3020933,3011770,3001728,2993058,2985293,2977317,2970070,2964549,2960369,2948302,2937261,2928907,2920255,2912903,2907182
Slovenia,SVN,SVN,Europe & Central Asia,High income,446954,464004,480036,497639,516254,535928,557347,578934,599472,618383,638279,660081,684387,709382,732814,760012,791790,822198,852339,882958,913487,933056,937974,946935,954871,962666,977870,992898,998815,1002567,1006674,1009852,1008910,1007047,1006439,1007194,1007101,1006304,1004646,1005900,1009419,1011568,1012762,1011537,1010348,1010259,1011642,1015458,1015186,1022547,1025111,1025354,1025617,1025115,1024701,1024661
